z,n,name,betaMinus,betaMinusUncertainty,electronCapture,electronCaptureUncertainty,positronEmission,positronEmissionUncertainty,bindingEnergy,bindingEnergyUncertainty,bindingEnergyLDMFit,bindingEnergyLDMFitUncertainty
9,9,18F,-4.44E+3,5.88E-1,1.65E+3,4.63E-1,6.33E+2,4.63E-1,7.63E+3,2.57E-2,4.55E+1,2.57E-2
10,10,20Ne,-1.38E+4,1.10,-7.02E+3,2.97E-2,-8.04E+3,2.97E-2,8.03E+3,2.00E-4,8.04E+1,2.00E-4
10,11,21Ne,-3.54E+3,1.77E-2,-5.68E+3,1.80,-6.70E+3,1.80,7.97E+3,1.80E-3,1.35E+2,1.80E-3
10,12,22Ne,-2.84E+3,1.32E-1,-1.08E+4,1.23E+1,-1.18E+4,1.23E+1,8.08E+3,8.00E-4,1.75E+2,8.00E-4
10,13,23Ne,4.37E+3,1.04E-1,-8.43E+3,3.33E+1,-9.46E+3,3.33E+1,7.95E+3,4.49E-3,1.35E+2,4.49E-3
10,14,24Ne,2.46E+3,5.13E-1,-1.34E+4,9.76E+1,-1.45E+4,9.76E+1,7.99E+3,2.14E-2,9.66E+1,2.14E-2
10,15,25Ne,7.32E+3,2.90E+1,-1.33E+4,1.00E+2,-1.43E+4,1.00E+2,7.83E+3,1.16,-3.08,1.16
10,16,26Ne,7.34E+3,1.87E+1,-1.81E+4,1.08E+2,-1.92E+4,1.08E+2,7.75E+3,7.08E-1,-5.00,7.08E-1
10,17,27Ne,1.25E+4,9.08E+1,-1.80E+4,1.50E+2,-1.91E+4,1.50E+2,7.52E+3,3.36,-7.24E+1,3.36
10,18,28Ne,1.22E+4,1.26E+2,-2.21E+4,1.74E+2,-2.31E+4,1.74E+2,7.38E+3,4.50,-8.22E+1,4.50
10,19,29Ne,1.57E+4,1.49E+2,-2.17E+4,5.46E+2,-2.27E+4,5.46E+2,7.16E+3,5.15,-1.80E+2,5.15
10,20,30Ne,1.48E+4,2.53E+2,-2.56E+4,5.61E+2,-2.67E+4,5.61E+2,7.03E+3,8.44,-2.19E+2,8.44
10,21,31Ne,1.89E+4,2.66E+2,-2.56E+4,5.97E+2,-2.66E+4,5.97E+2,6.81E+3,8.58,-3.23E+2,8.58
10,22,32Ne,1.83E+4,5.04E+2,,,,,6.67E+3,1.60E+1,-3.68E+2,1.60E+1
10,23,33Ne,2.23E+4,7.50E+2,,,,,6.43E+3,1.80E+1,-4.55E+2,1.80E+1
10,24,34Ne,2.11E+4,7.89E+2,,,,,6.28E+3,1.50E+1,-4.99E+2,1.50E+1
10,9,19Ne,-1.11E+4,1.05E+1,3.23E+3,1.60E-1,2.21E+3,1.60E-1,7.56E+3,8.40E-3,1.42E+2,8.40E-3
10,7,17Ne,-1.82E+4,5.96E+1,1.45E+4,4.32E-1,1.35E+4,4.32E-1,6.64E+3,2.08E-2,-5.72E+1,2.08E-2
10,8,18Ne,-1.97E+4,9.38E+1,4.44E+3,5.88E-1,3.42E+3,5.88E-1,7.34E+3,2.02E-2,8.44E+1,2.02E-2
10,5,15Ne,,,2.36E+4,6.81E+1,2.26E+4,6.81E+1,4.86E+3,4.44,-7.23E+2,4.44
10,6,16Ne,,,1.33E+4,2.11E+1,1.22E+4,2.11E+1,6.08E+3,1.28,-3.10E+2,1.28
11,9,20Na,-1.06E+4,2.16,1.38E+4,1.10,1.28E+4,1.10,7.29E+3,5.54E-2,3.40E+1,5.54E-2
11,8,19Na,-1.89E+4,6.09E+1,1.11E+4,1.05E+1,1.01E+4,1.05E+1,6.93E+3,5.54E-1,-3.65E+1,5.54E-1
11,7,18Na,,,1.97E+4,9.38E+1,1.86E+4,9.38E+1,6.20E+3,5.21,-2.73E+2,5.21
11,6,17Na,,,1.82E+4,5.96E+1,1.71E+4,5.96E+1,5.52E+3,3.50,-5.66E+2,3.50
11,21,32Na,1.94E+4,3.74E+1,-1.83E+4,5.04E+2,-1.93E+4,5.04E+2,7.21E+3,1.16,-2.00E+2,1.16
11,20,31Na,1.53E+4,1.43E+1,-1.89E+4,2.66E+2,-1.99E+4,2.66E+2,7.39E+3,4.50E-1,-9.47E+1,4.50E-1
11,23,34Na,2.33E+4,5.99E+2,-2.11E+4,7.89E+2,-2.21E+4,7.89E+2,6.88E+3,1.76E+1,-3.12E+2,1.76E+1
11,22,33Na,1.88E+4,4.49E+2,-2.23E+4,7.50E+2,-2.33E+4,7.50E+2,7.08E+3,1.36E+1,-2.25E+2,1.36E+1
11,24,35Na,2.21E+4,7.23E+2,,,,,6.74E+3,1.90E+1,-3.39E+2,1.90E+1
