Z,N,A,element,level_index,level_energy_keV,spin_parity,mass_excess_keV,abundance,half_life_s,half_life_source,is_stable,is_resonance,dominant_mode,decay_modes_raw
14,18,32,Si,0,0.0,0+,-24077.689,,5153356080.0,chart,False,False,B-,B- = 100 
14,19,33,Si,0,0.0,3/2+,-20514.328,,6.17,chart,False,False,B-,B- = 100 
14,20,34,Si,0,0.0,0+,-19991.684,,2.77,chart,False,False,B-,B- = 100
14,21,35,Si,0,0.0,7/2-,-14391.48,,0.78,chart,False,False,B-,"B- = 100,B-n = 5.3 "
14,22,36,Si,0,0.0,0+,-12436.125,,0.503,chart,False,False,B-,"B- = 100,B-n = 12.4 4.6"
14,23,37,Si,0,0.0,(5/2-),-6571.512,,0.141,chart,False,False,B-,"B-n = 17 13,B-2n?,B- = 100"
14,24,38,Si,0,0.0,0+,-4170.299,,0.063,chart,False,False,B-,"B- = 100,B-n = 25 10"
14,25,39,Si,0,0.0,(5/2-),2320.352,,0.0387,chart,False,False,B-,"B-n = 33 5,B-2n?,B- = 100"
14,26,40,Si,0,0.0,0+,5666.876,,0.0303,chart,False,False,B-,"B-n = 38 5,B-2n?,B- = 100"
14,27,41,Si,0,0.0,,13200.0,,0.02,chart,False,False,B-,"B-n = 0 ,B-2n?,B- = 100"
14,28,42,Si,0,0.0,0+,16840.0,,0.015,chart,False,False,B-,"B-n?,B-2n?,B- = 100"
14,29,43,Si,0,0.0,,24330.0,,0.013,chart,False,False,B-,"B-n?,B-2n?,B- = 100"
14,30,44,Si,0,0.0,0+,29310.0,,,none,False,False,B-,"B-n?,B-2n?,B- = 100"
15,10,25,P,0,0.0,(1/2+),20190.0,,3.8e-08,chart,False,False,OTHER,p = 100 
15,11,26,P,0,0.0,(3)+,10973.0,,0.0436,chart,False,False,EC_BP,"EC2p = 1.99 0.29,EC+B+ = 100,ECp = 35.2 1.6"
15,12,27,P,0,0.0,1/2+,-659.032,,0.26,chart,False,False,EC_BP,"ECp ~ 0.07 ,EC+B+ = 100"
15,13,28,P,0,0.0,3+,-7147.856,,0.2703,chart,False,False,EC_BP,"ECa = 0.00086 0.00025,EC+B+ = 100,ECp = 0.0013 0.0004"
15,14,29,P,0,0.0,1/2+,-16952.849,,4.1022,chart,False,False,EC_BP,EC+B+ = 100 
15,15,30,P,0,0.0,1+,-20200.856,,150.0,chart,False,False,EC_BP,EC+B+ = 100 
15,16,31,P,0,0.0,1/2+,-24440.54442,100.0,,none,True,False,STABLE,
15,17,32,P,0,0.0,1+,-24304.876,,1232668.8,chart,False,False,B-,B- = 100 
15,18,33,P,0,0.0,1/2+,-26337.35,,2190240.0,chart,False,False,B-,B- = 100 
15,19,34,P,0,0.0,1+,-24548.702,,12.43,chart,False,False,B-,B- = 100 
